t,imu_accel_true_x,imu_accel_meas_x,imu_gyro_true_x,imu_gyro_meas_x,seeker_los_true,seeker_los_meas
0.405,-64.0475509,-64.0475509,0,0,0.361167598,0.361167598
0.41,-64.027433,-64.027433,0,0,0.361058792,0.361058792
0.415,-64.0071527,-64.0071527,0,0,0.360950243,0.360950243
0.42,-63.9867114,-63.9867114,0,0,0.360841951,0.360841951
0.425,-63.9661105,-63.9661105,0,0,0.360733916,0.360733916
0.43,-63.9453513,-63.9453513,0,0,0.360626137,0.360626137
0.435,-63.9244351,-63.9244351,0,0,0.360518613,0.360518613
0.44,-63.9033634,-63.9033634,0,0,0.360411343,0.360411343
0.445,-63.8821374,-63.8821374,0,0,0.360304328,0.360304328
0.45,-63.8607585,-63.8607585,0,0,0.360197567,0.360197567
0.455,-63.839228,-63.839228,0,0,0.360091059,0.360091059
0.46,-63.8175472,-63.8175472,0,0,0.359984803,0.359984803
0.465,-63.7957173,-63.7957173,0,0,0.359878799,0.359878799
0.47,-63.7737397,-63.7737397,0,0,0.359773047,0.359773047
0.475,-63.7516156,-63.7516156,0,0,0.359667546,0.359667546
0.48,-63.7293464,-63.7293464,0,0,0.359562295,0.359562295
0.485,-63.7069332,-63.7069332,0,0,0.359457294,0.359457294
0.49,-63.6843772,-63.6843772,0,0,0.359352542,0.359352542
0.495,-63.6616799,-63.6616799,0,0,0.359248039,0.359248039
0.5,-63.6388423,-63.6388423,0,0,0.359143784,0.359143784
0.505,-63.6158656,-63.6158656,0,0,0.359039777,0.359039777
0.51,-63.5927512,-63.5927512,0,0,0.358936017,0.358936017
0.515,-63.5695002,-63.5695002,0,0,0.358832504,0.358832504
0.52,-63.5461138,-63.5461138,0,0,0.358729237,0.358729237
0.525,-63.5225931,-63.5225931,0,0,0.358626215,0.358626215
0.53,-63.4989394,-63.4989394,0,0,0.358523439,0.358523439
0.535,-63.4751538,-63.4751538,0,0,0.358420907,0.358420907
0.54,-63.4512375,-63.4512375,0,0,0.358318619,0.358318619
0.545,-63.4271916,-63.4271916,0,0,0.358216574,0.358216574
0.55,-63.4030173,-63.4030173,0,0,0.358114772,0.358114772
0.555,-63.3787157,-63.3787157,0,0,0.358013213,0.358013213
0.56,-63.3542879,-63.3542879,0,0,0.357911896,0.357911896
0.565,-63.3297351,-63.3297351,0,0,0.35781082,0.35781082
0.57,-63.3050583,-63.3050583,0,0,0.357709985,0.357709985
0.575,-63.2802586,-63.2802586,0,0,0.35760939,0.35760939
0.58,-63.2553372,-63.2553372,0,0,0.357509035,0.357509035
0.585,-63.2302951,-63.2302951,0,0,0.35740892,0.35740892
0.59,-63.2051335,-63.2051335,0,0,0.357309043,0.357309043
0.595,-63.1798533,-63.1798533,0,0,0.357209405,0.357209405
0.6,-63.1544556,-63.1544556,0,0,0.357110004,0.357110004
0.605,-63.1289416,-63.1289416,0,0,0.357010841,0.357010841
0.61,-63.1033121,-63.1033121,0,0,0.356911914,0.356911914
0.615,-63.0775684,-63.0775684,0,0,0.356813224,0.356813224
0.62,-63.0517113,-63.0517113,0,0,0.35671477,0.35671477
0.625,-63.025742,-63.025742,0,0,0.356616551,0.356616551
0.63,-62.9996614,-62.9996614,0,0,0.356518566,0.356518566
0.635,-62.9734705,-62.9734705,0,0,0.356420816,0.356420816
0.64,-62.9471704,-62.9471704,0,0,0.3563233,0.3563233
0.645,-62.9207621,-62.9207621,0,0,0.356226017,0.356226017
0.65,-62.8942465,-62.8942465,0,0,0.356128967,0.356128967
0.655,-62.8676246,-62.8676246,0,0,0.35603215,0.35603215
0.66,-62.8408974,-62.8408974,0,0,0.355935564,0.355935564
0.665,-62.8140658,-62.8140658,0,0,0.355839209,0.355839209
0.67,-62.7871308,-62.7871308,0,0,0.355743086,0.355743086
0.675,-62.7600934,-62.7600934,0,0,0.355647192,0.355647192
0.68,-62.7329545,-62.7329545,0,0,0.355551529,0.355551529
0.685,-62.705715,-62.705715,0,0,0.355456095,0.355456095
0.69,-62.6783759,-62.6783759,0,0,0.35536089,0.35536089
0.695,-62.6509381,-62.6509381,0,0,0.355265913,0.355265913
0.7,-62.6234025,-62.6234025,0,0,0.355171165,0.355171165
0.705,-62.5957701,-62.5957701,0,0,0.355076644,0.355076644
0.71,-62.5680416,-62.5680416,0,0,0.354982349,0.354982349
0.715,-62.5402181,-62.5402181,0,0,0.354888282,0.354888282
0.72,-62.5123004,-62.5123004,0,0,0.35479444,0.35479444
0.725,-62.4842894,-62.4842894,0,0,0.354700824,0.354700824
0.73,-62.456186,-62.456186,0,0,0.354607433,0.354607433
0.735,-62.427991,-62.427991,0,0,0.354514267,0.354514267
0.74,-62.3997053,-62.3997053,0,0,0.354421325,0.354421325
