t,x,y,z,vx,vy,vz,roll,pitch,yaw,mass,mach,thrust
0.305,200.975557,0,174.112718,649.071384,0,541.141696,0,0,0,22,2.48821711,0
0.31,204.220109,0,176.816121,648.749316,0,540.219585,0,0,0,22,2.48582665,0
0.315,207.463051,0,179.514919,648.427331,0,539.299858,0,0,0,22,2.48344147,0
0.32,210.704383,0,182.209125,648.10543,0,538.38251,0,0,0,22,2.48106155,0
0.325,213.944105,0,184.89875,647.783613,0,537.467532,0,0,0,22,2.47868689,0
0.33,217.182219,0,187.583806,647.461882,0,536.554916,0,0,0,22,2.47631746,0
0.335,220.418724,0,190.264305,647.140238,0,535.644656,0,0,0,22,2.47395325,0
0.34,223.653622,0,192.940259,646.818681,0,534.736743,0,0,0,22,2.47159424,0
0.345,226.886911,0,195.611679,646.497213,0,533.831172,0,0,0,22,2.46924041,0
0.35,230.118594,0,198.278576,646.175834,0,532.927933,0,0,0,22,2.46689174,0
0.355,233.34867,0,200.940964,645.854545,0,532.027021,0,0,0,22,2.46454822,0
0.36,236.57714,0,203.598852,645.533348,0,531.128427,0,0,0,22,2.46220983,0
0.365,239.804004,0,206.252254,645.212243,0,530.232144,0,0,0,22,2.45987656,0
0.37,243.029262,0,208.90118,644.89123,0,529.338166,0,0,0,22,2.45754838,0
0.375,246.252916,0,211.545641,644.570312,0,528.446484,0,0,0,22,2.45522528,0
0.38,249.474966,0,214.18565,644.249488,0,527.557093,0,0,0,22,2.45290725,0
0.385,252.695411,0,216.821218,643.928759,0,526.669984,0,0,0,22,2.45059426,0
0.39,255.914254,0,219.452356,643.608128,0,525.785151,0,0,0,22,2.4482863,0
0.395,259.131493,0,222.079075,643.287593,0,524.902586,0,0,0,22,2.44598336,0
0.4,262.34713,0,224.701387,642.967157,0,524.022282,0,0,0,22,2.44368542,0
0.405,265.561165,0,227.319304,642.646819,0,523.144233,0,0,0,22,2.44139245,0
0.41,268.773598,0,229.932835,642.326581,0,522.268432,0,0,0,22,2.43910445,0
0.415,271.984431,0,232.541993,642.006444,0,521.39487,0,0,0,22,2.4368214,0
0.42,275.193663,0,235.14679,641.686408,0,520.523543,0,0,0,22,2.43454329,0
0.425,278.401295,0,237.747234,641.366475,0,519.654441,0,0,0,22,2.43227008,0
0.43,281.607328,0,240.343339,641.046644,0,518.78756,0,0,0,22,2.43000178,0
0.435,284.811762,0,242.935116,640.726917,0,517.922891,0,0,0,22,2.42773837,0
0.44,288.014597,0,245.522574,640.407295,0,517.060427,0,0,0,22,2.42547982,0
0.445,291.215835,0,248.105725,640.087778,0,516.200163,0,0,0,22,2.42322612,0
0.45,294.415475,0,250.684581,639.768368,0,515.342091,0,0,0,22,2.42097726,0
0.455,297.613519,0,253.259152,639.449064,0,514.486205,0,0,0,22,2.41873323,0
0.46,300.809966,0,255.829449,639.129868,0,513.632497,0,0,0,22,2.41649399,0
0.465,304.004818,0,258.395482,638.81078,0,512.780961,0,0,0,22,2.41425955,0
0.47,307.198074,0,260.957264,638.491802,0,511.931591,0,0,0,22,2.41202988,0
0.475,310.389736,0,263.514803,638.172933,0,511.084379,0,0,0,22,2.40980497,0
0.48,313.579804,0,266.068113,637.854175,0,510.239319,0,0,0,22,2.40758481,0
0.485,316.768278,0,268.617202,637.535528,0,509.396405,0,0,0,22,2.40536937,0
0.49,319.955159,0,271.162082,637.216993,0,508.555629,0,0,0,22,2.40315864,0
0.495,323.140448,0,273.702764,636.898571,0,507.716985,0,0,0,22,2.40095261,0
0.5,326.324145,0,276.239257,636.580263,0,506.880467,0,0,0,22,2.39875127,0
0.505,329.506251,0,278.771574,636.262069,0,506.046068,0,0,0,22,2.39655459,0
0.51,332.686766,0,281.299723,635.94399,0,505.213781,0,0,0,22,2.39436256,0
0.515,335.865691,0,283.823717,635.626026,0,504.383601,0,0,0,22,2.39217517,0
0.52,339.043027,0,286.343564,635.308178,0,503.55552,0,0,0,22,2.38999241,0
0.525,342.218774,0,288.859277,634.990448,0,502.729532,0,0,0,22,2.38781425,0
0.53,345.392932,0,291.370865,634.672835,0,501.905631,0,0,0,22,2.38564068,0
0.535,348.565502,0,293.878339,634.35534,0,501.08381,0,0,0,22,2.38347169,0
0.54,351.736485,0,296.381708,634.037964,0,500.264064,0,0,0,22,2.38130726,0
0.545,354.905882,0,298.880984,633.720708,0,499.446385,0,0,0,22,2.37914738,0
0.55,358.073693,0,301.376177,633.403572,0,498.630767,0,0,0,22,2.37699204,0
0.555,361.239918,0,303.867297,633.086557,0,497.817205,0,0,0,22,2.37484121,0
0.56,364.404559,0,306.354354,632.769663,0,497.005691,0,0,0,22,2.37269489,0
0.565,367.567615,0,308.837359,632.452892,0,496.19622,0,0,0,22,2.37055306,0
0.57,370.729088,0,311.316322,632.136243,0,495.388786,0,0,0,22,2.36841571,0
0.575,373.888978,0,313.791252,631.819718,0,494.583381,0,0,0,22,2.36628282,0
0.58,377.047285,0,316.262161,631.503317,0,493.78,0,0,0,22,2.36415437,0
0.585,380.204011,0,318.729057,631.18704,0,492.978637,0,0,0,22,2.36203036,0
0.59,383.359156,0,321.191952,630.870889,0,492.179286,0,0,0,22,2.35991076,0
0.595,386.512721,0,323.650855,630.554863,0,491.38194,0,0,0,22,2.35779558,0
0.6,389.664705,0,326.105776,630.238964,0,490.586594,0,0,0,22,2.35568478,0
0.605,392.81511,0,328.556726,629.923191,0,489.793241,0,0,0,22,2.35357836,0
0.61,395.963937,0,331.003714,629.607547,0,489.001876,0,0,0,22,2.3514763,0
0.615,399.111186,0,333.44675,629.29203,0,488.212492,0,0,0,22,2.34937859,0
0.62,402.256858,0,335.885844,628.976642,0,487.425083,0,0,0,22,2.34728522,0
0.625,405.400953,0,338.321005,628.661384,0,486.639644,0,0,0,22,2.34519616,0
0.63,408.543472,0,340.752245,628.346255,0,485.856167,0,0,0,22,2.34311142,0
0.635,411.684416,0,343.179572,628.031257,0,485.074649,0,0,0,22,2.34103097,0
0.64,414.823785,0,345.602996,627.716389,0,484.295082,0,0,0,22,2.3389548,0
0.645,417.96158,0,348.022528,627.401654,0,483.517461,0,0,0,22,2.3368829,0
0.65,421.097802,0,350.438176,627.08705,0,482.741779,0,0,0,22,2.33481525,0
0.655,424.232451,0,352.84995,626.772578,0,481.968032,0,0,0,22,2.33275184,0
0.66,427.365528,0,355.257861,626.45824,0,481.196212,0,0,0,22,2.33069266,0
0.665,430.497034,0,357.661917,626.144036,0,480.426315,0,0,0,22,2.32863769,0
0.67,433.626969,0,360.062129,625.829966,0,479.658334,0,0,0,22,2.32658692,0
0.675,436.755334,0,362.458505,625.51603,0,478.892265,0,0,0,22,2.32454034,0
0.68,439.882129,0,364.851056,625.202229,0,478.1281,0,0,0,22,2.32249793,0
0.685,443.007356,0,367.239791,624.888565,0,477.365834,0,0,0,22,2.32045968,0
0.69,446.131015,0,369.624719,624.575036,0,476.605463,0,0,0,22,2.31842558,0
0.695,449.253107,0,372.005851,624.261644,0,475.846979,0,0,0,22,2.31639561,0
0.7,452.373632,0,374.383194,623.948389,0,475.090377,0,0,0,22,2.31436976,0
0.705,455.492591,0,376.756759,623.635272,0,474.335652,0,0,0,22,2.31234803,0
0.71,458.609985,0,379.126555,623.322294,0,473.582798,0,0,0,22,2.31033038,0
0.715,461.725815,0,381.492592,623.009453,0,472.83181,0,0,0,22,2.30831682,0
0.72,464.84008,0,383.854878,622.696752,0,472.082681,0,0,0,22,2.30630733,0
0.725,467.952782,0,386.213423,622.384191,0,471.335407,0,0,0,22,2.3043019,0
0.73,471.063922,0,388.568237,622.071769,0,470.589981,0,0,0,22,2.30230051,0
0.735,474.1735,0,390.919327,621.759488,0,469.846399,0,0,0,22,2.30030316,0
0.74,477.281518,0,393.266705,621.447349,0,469.104654,0,0,0,22,2.29830982,0
0.745,480.387974,0,395.610379,621.13535,0,468.364742,0,0,0,22,2.29632049,0
0.75,483.492871,0,397.950357,620.823493,0,467.626657,0,0,0,22,2.29433515,0
0.755,486.59621,0,400.28665,620.511779,0,466.890392,0,0,0,22,2.29235379,0
0.76,489.69799,0,402.619266,620.200207,0,466.155944,0,0,0,22,2.29037641,0
0.765,492.798212,0,404.948214,619.888779,0,465.423307,0,0,0,22,2.28840298,0
0.77,495.896878,0,407.273503,619.577494,0,464.692474,0,0,0,22,2.2864335,0
0.775,498.993987,0,409.595143,619.266354,0,463.963442,0,0,0,22,2.28446794,0
0.78,502.089542,0,411.913142,618.955357,0,463.236203,0,0,0,22,2.28250631,0
0.785,505.183541,0,414.227509,618.644506,0,462.510754,0,0,0,22,2.28054859,0
0.79,508.275987,0,416.538254,618.3338,0,461.787089,0,0,0,22,2.27859476,0
0.795,511.36688,0,418.845385,618.02324,0,461.065203,0,0,0,22,2.27664481,0
0.8,514.45622,0,421.148911,617.712826,0,460.34509,0,0,0,22,2.27469874,0
0.805,517.544008,0,423.44884,617.402558,0,459.626744,0,0,0,22,2.27275653,0
0.81,520.630246,0,425.745182,617.092438,0,458.910162,0,0,0,22,2.27081816,0
0.815,523.714933,0,428.037946,616.782464,0,458.195337,0,0,0,22,2.26888363,0
0.82,526.798071,0,430.32714,616.472639,0,457.482265,0,0,0,22,2.26695293,0
0.825,529.87966,0,432.612773,616.162962,0,456.77094,0,0,0,22,2.26502603,0
0.83,532.959701,0,434.894854,615.853433,0,456.061357,0,0,0,22,2.26310294,0
0.835,536.038194,0,437.173391,615.544053,0,455.353512,0,0,0,22,2.26118364,0
0.84,539.115142,0,439.448393,615.234822,0,454.647398,0,0,0,22,2.25926811,0
0.845,542.190543,0,441.719869,614.925741,0,453.943011,0,0,0,22,2.25735635,0
0.85,545.264399,0,443.987828,614.61681,0,453.240345,0,0,0,22,2.25544834,0
0.855,548.336712,0,446.252277,614.308029,0,452.539396,0,0,0,22,2.25354408,0
0.86,551.40748,0,448.513226,613.999399,0,451.840159,0,0,0,22,2.25164354,0
0.865,554.476706,0,450.770683,613.69092,0,451.142629,0,0,0,22,2.24974673,0
0.87,557.54439,0,453.024657,613.382592,0,450.446799,0,0,0,22,2.24785362,0
0.875,560.610532,0,455.275155,613.074417,0,449.752667,0,0,0,22,2.24596421,0
0.88,563.675134,0,457.522187,612.766393,0,449.060226,0,0,0,22,2.24407849,0
0.885,566.738196,0,459.765762,612.458522,0,448.369472,0,0,0,22,2.24219644,0
0.89,569.79972,0,462.005886,612.150804,0,447.6804,0,0,0,22,2.24031805,0
0.895,572.859705,0,464.24257,611.843239,0,446.993004,0,0,0,22,2.23844331,0
0.9,575.918153,0,466.475821,611.535827,0,446.30728,0,0,0,22,2.23657222,0
0.905,578.975064,0,468.705647,611.228569,0,445.623224,0,0,0,22,2.23470475,0
0.91,582.030439,0,470.932057,610.921466,0,444.940829,0,0,0,22,2.23284091,0
0.915,585.084279,0,473.155059,610.614517,0,444.260092,0,0,0,22,2.23098067,0
0.92,588.136584,0,475.374662,610.307722,0,443.581007,0,0,0,22,2.22912402,0
0.925,591.187356,0,477.590873,610.001083,0,442.90357,0,0,0,22,2.22727096,0
0.93,594.236595,0,479.803702,609.694599,0,442.227776,0,0,0,22,2.22542148,0
0.935,597.284303,0,482.013155,609.388271,0,441.55362,0,0,0,22,2.22357556,0
0.94,600.330479,0,484.219242,609.082099,0,440.881097,0,0,0,22,2.22173319,0
0.945,603.375124,0,486.42197,608.776084,0,440.210203,0,0,0,22,2.21989437,0
0.95,606.41824,0,488.621348,608.470225,0,439.540932,0,0,0,22,2.21805908,0
0.955,609.459827,0,490.817384,608.164523,0,438.873281,0,0,0,22,2.2162273,0
0.96,612.499885,0,493.010085,607.858978,0,438.207244,0,0,0,22,2.21439904,0
0.965,615.538417,0,495.19946,607.553591,0,437.542818,0,0,0,22,2.21257428,0
0.97,618.575422,0,497.385517,607.248362,0,436.879996,0,0,0,22,2.210753,0
0.975,621.610901,0,499.568264,606.94329,0,436.218774,0,0,0,22,2.20893521,0
