t,accel_cmd_x,accel_cmd_y,accel_cmd_z,fin_x,fin_y,fin_z,los_angle,los_rate,v_closing,range,nav_x,nav_y,nav_z
0.19,37.6499657,0,-98.2050595,0,0,0,0.36609818,0.0241158838,1090.30704,9446.93117,8946.8,0,3492.4
0.195,37.5261644,0,-97.9174198,0,0,0,0.365977742,0.0240591461,1089.62696,9441.48134,8945.4,0,3492.2
0.2,37.4028119,0,-97.630658,0,0,0,0.365857588,0.0240025361,1088.94809,9436.0349,8944,0,3492
0.205,37.2799061,0,-97.3447708,0,0,0,0.365737716,0.0239460536,1088.27043,9430.59185,8942.6,0,3491.8
0.21,37.1574451,0,-97.0597548,0,0,0,0.365618127,0.0238896981,1087.59397,9425.15219,8941.2,0,3491.6
0.215,37.0354269,0,-96.7756067,0,0,0,0.365498819,0.0238334693,1086.91872,9419.71591,8939.8,0,3491.4
0.22,36.9138494,0,-96.4923233,0,0,0,0.365379792,0.0237773668,1086.24467,9414.283,8938.4,0,3491.2
0.225,36.7927107,0,-96.2099013,0,0,0,0.365261045,0.0237213902,1085.57182,9408.85346,8937,0,3491
0.23,36.672009,0,-95.9283375,0,0,0,0.365142577,0.0236655391,1084.90015,9403.42728,8935.6,0,3490.8
0.235,36.5517421,0,-95.6476286,0,0,0,0.365024389,0.0236098132,1084.22968,9398.00446,8934.2,0,3490.6
0.24,36.4319083,0,-95.3677714,0,0,0,0.364906479,0.0235542121,1083.5604,9392.58498,8932.8,0,3490.4
0.245,36.3125055,0,-95.0887627,0,0,0,0.364788846,0.0234987355,1082.89229,9387.16885,8931.4,0,3490.2
0.25,36.1935318,0,-94.8105992,0,0,0,0.364671491,0.0234433829,1082.22537,9381.75606,8930,0,3490
0.255,36.0749854,0,-94.5332779,0,0,0,0.364554412,0.0233881539,1081.55962,9376.34659,8928.6,0,3489.8
0.26,35.9568644,0,-94.2567955,0,0,0,0.364437609,0.0233330483,1080.89505,9370.94046,8927.2,0,3489.6
0.265,35.8391668,0,-93.981149,0,0,0,0.364321081,0.0232780657,1080.23165,9365.53764,8925.8,0,3489.4
0.27,35.7218908,0,-93.7063351,0,0,0,0.364204828,0.0232232056,1079.56941,9360.13814,8924.4,0,3489.2
0.275,35.6050345,0,-93.4323507,0,0,0,0.364088849,0.0231684678,1078.90834,9354.74194,8923,0,3489
0.28,35.4885961,0,-93.1591928,0,0,0,0.363973143,0.0231138519,1078.24842,9349.34905,8921.6,0,3488.8
0.285,35.3725737,0,-92.8868582,0,0,0,0.36385771,0.0230593574,1077.58967,9343.95946,8920.2,0,3488.6
0.29,35.2569655,0,-92.6153438,0,0,0,0.363742549,0.0230049842,1076.93207,9338.57315,8918.8,0,3488.4
0.295,35.1417697,0,-92.3446467,0,0,0,0.36362766,0.0229507317,1076.27562,9333.19013,8917.4,0,3488.2
0.3,35.0269844,0,-92.0747637,0,0,0,0.363513041,0.0228965996,1075.62031,9327.81039,8916,0,3488
0.305,34.9126079,0,-91.8056918,0,0,0,0.363398693,0.0228425877,1074.96616,9322.43393,8914.6,0,3487.8
0.31,34.7986382,0,-91.5374279,0,0,0,0.363284615,0.0227886955,1074.31314,9317.06073,8913.2,0,3487.6
0.315,34.6850738,0,-91.2699691,0,0,0,0.363170806,0.0227349226,1073.66126,9311.69079,8911.8,0,3487.4
0.32,34.5719127,0,-91.0033124,0,0,0,0.363057265,0.0226812688,1073.01052,9306.32411,8910.4,0,3487.2
0.325,34.4591531,0,-90.7374547,0,0,0,0.362943993,0.0226277337,1072.36091,9300.96069,8909,0,3487
0.33,34.3467935,0,-90.4723932,0,0,0,0.362830988,0.0225743169,1071.71242,9295.6005,8907.6,0,3486.8
0.335,34.2348318,0,-90.2081247,0,0,0,0.362718249,0.0225210181,1071.06507,9290.24356,8906.2,0,3486.6
0.34,34.1232666,0,-89.9446465,0,0,0,0.362605777,0.0224678369,1070.41883,9284.88985,8904.8,0,3486.4
0.345,34.0120959,0,-89.6819555,0,0,0,0.362493571,0.022414773,1069.77372,9279.53937,8903.4,0,3486.2
0.35,33.9013181,0,-89.4200488,0,0,0,0.362381629,0.0223618261,1069.12972,9274.19211,8902,0,3486
0.355,33.7909315,0,-89.1589236,0,0,0,0.362269952,0.0223089958,1068.48684,9268.84807,8900.6,0,3485.8
0.36,33.6809343,0,-88.8985769,0,0,0,0.362158539,0.0222562817,1067.84506,9263.50724,8899.2,0,3485.6
0.365,33.5713249,0,-88.6390058,0,0,0,0.362047389,0.0222036836,1067.2044,9258.16961,8897.8,0,3485.4
0.37,33.4621015,0,-88.3802076,0,0,0,0.361936501,0.0221512011,1066.56484,9252.83519,8896.4,0,3485.2
0.375,33.3532625,0,-88.1221792,0,0,0,0.361825876,0.0220988338,1065.92638,9247.50396,8895,0,3485
0.38,33.2448062,0,-87.8649179,0,0,0,0.361715513,0.0220465815,1065.28902,9242.17593,8893.6,0,3484.8
0.385,33.1367309,0,-87.6084209,0,0,0,0.36160541,0.0219944437,1064.65275,9236.85107,8892.2,0,3484.6
0.39,33.0290351,0,-87.3526853,0,0,0,0.361495568,0.0219424202,1064.01758,9231.5294,8890.8,0,3484.4
0.395,32.9217169,0,-87.0977083,0,0,0,0.361385986,0.0218905106,1063.38349,9226.21089,8889.4,0,3484.2
0.4,32.8147749,0,-86.8434871,0,0,0,0.361276662,0.0218387146,1062.7505,9220.89556,8888,0,3484
0.405,32.7082073,0,-86.590019,0,0,0,0.361167598,0.0217870318,1062.11858,9215.58339,8886.6,0,3483.8
0.41,32.6020125,0,-86.3373011,0,0,0,0.361058792,0.0217354619,1061.48775,9210.27437,8885.2,0,3483.6
0.415,32.496189,0,-86.0853307,0,0,0,0.360950243,0.0216840047,1060.858,9204.96851,8883.8,0,3483.4
