t,x,y,z,vx,vy,vz
0.685,8808.2,0,3472.6,-280,0,-40
0.69,8806.8,0,3472.4,-280,0,-40
0.695,8805.4,0,3472.2,-280,0,-40
0.7,8804,0,3472,-280,0,-40
0.705,8802.6,0,3471.8,-280,0,-40
0.71,8801.2,0,3471.6,-280,0,-40
0.715,8799.8,0,3471.4,-280,0,-40
0.72,8798.4,0,3471.2,-280,0,-40
0.725,8797,0,3471,-280,0,-40
0.73,8795.6,0,3470.8,-280,0,-40
0.735,8794.2,0,3470.6,-280,0,-40
0.74,8792.8,0,3470.4,-280,0,-40
0.745,8791.4,0,3470.2,-280,0,-40
0.75,8790,0,3470,-280,0,-40
0.755,8788.6,0,3469.8,-280,0,-40
0.76,8787.2,0,3469.6,-280,0,-40
0.765,8785.8,0,3469.4,-280,0,-40
0.77,8784.4,0,3469.2,-280,0,-40
0.775,8783,0,3469,-280,0,-40
0.78,8781.6,0,3468.8,-280,0,-40
0.785,8780.2,0,3468.6,-280,0,-40
0.79,8778.8,0,3468.4,-280,0,-40
0.795,8777.4,0,3468.2,-280,0,-40
0.8,8776,0,3468,-280,0,-40
0.805,8774.6,0,3467.8,-280,0,-40
0.81,8773.2,0,3467.6,-280,0,-40
0.815,8771.8,0,3467.4,-280,0,-40
0.82,8770.4,0,3467.2,-280,0,-40
0.825,8769,0,3467,-280,0,-40
0.83,8767.6,0,3466.8,-280,0,-40
0.835,8766.2,0,3466.6,-280,0,-40
0.84,8764.8,0,3466.4,-280,0,-40
0.845,8763.4,0,3466.2,-280,0,-40
0.85,8762,0,3466,-280,0,-40
0.855,8760.6,0,3465.8,-280,0,-40
0.86,8759.2,0,3465.6,-280,0,-40
0.865,8757.8,0,3465.4,-280,0,-40
0.87,8756.4,0,3465.2,-280,0,-40
0.875,8755,0,3465,-280,0,-40
0.88,8753.6,0,3464.8,-280,0,-40
0.885,8752.2,0,3464.6,-280,0,-40
0.89,8750.8,0,3464.4,-280,0,-40
0.895,8749.4,0,3464.2,-280,0,-40
0.9,8748,0,3464,-280,0,-40
0.905,8746.6,0,3463.8,-280,0,-40
0.91,8745.2,0,3463.6,-280,0,-40
0.915,8743.8,0,3463.4,-280,0,-40
0.92,8742.4,0,3463.2,-280,0,-40
0.925,8741,0,3463,-280,0,-40
0.93,8739.6,0,3462.8,-280,0,-40
